"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime","Duration"
"1","zrpo","Completed","2019-01-09 10:26:36","2019-01-09 10:26:37","00:00:01"
"2","z rp","Completed","2019-01-10 10:19:20","2019-01-10 10:19:21","00:00:01"
"3","z leet","Completed","2019-01-09 10:38:18","2019-01-09 10:38:19","00:00:01"
"4","z le","Completed","2019-01-09 10:38:16","2019-01-09 10:38:16","00:00:00"
"5","z et","Completed","2019-01-09 10:37:11","2019-01-09 10:37:11","00:00:00"
"6","z do","Completed","2019-01-10 11:13:14","2019-01-10 11:13:14","00:00:00"
"7","popd","Completed","2019-01-09 10:38:27","2019-01-09 10:38:27","00:00:00"
"8","mv .\gitpromtp.txt ~","Completed","2019-01-09 13:45:03","2019-01-09 13:45:03","00:00:00"
"9","if($wakatime){write-host ""asdasd""}","Completed","2019-01-10 10:49:20","2019-01-10 10:49:20","00:00:00"
"10","git-push","Completed","2019-01-09 16:49:36","2019-01-09 16:49:40","00:00:04"
"65","Get-Job|Receive-Job","Completed","2019-01-10 11:13:23","2019-01-10 11:13:23","00:00:00"
"12","Get-Job","Completed","2019-01-10 10:50:06","2019-01-10 10:50:06","00:00:00"
"13","gc .\history.csv|select -Last 1|ConvertFrom-Csv","Completed","2019-01-10 10:16:32","2019-01-10 10:16:32","00:00:00"
"14","gc .\history.csv|select -Last 1 -First 1|ConvertFrom-Csv","Completed","2019-01-10 10:16:55","2019-01-10 10:16:55","00:00:00"
"15","gc .\history.csv|select -Last 1 -First 1","Completed","2019-01-10 10:16:47","2019-01-10 10:16:47","00:00:00"
"16","gc .\history.csv|select -Last 1","Completed","2019-01-10 10:16:13","2019-01-10 10:16:13","00:00:00"
"17","gc .\history.csv|select -Last","Completed","2019-01-10 10:16:08","2019-01-10 10:16:08","00:00:00"
"18","g s","Completed","2019-01-09 17:40:20","2019-01-09 17:40:20","00:00:00"
"19","g push","Completed","2019-01-09 17:40:38","2019-01-09 17:40:42","00:00:04"
"20","g ffs patch_docs","Completed","2019-01-09 10:27:06","2019-01-09 10:27:12","00:00:06"
"21","g commit -m 'patch diagrams finished' ","Completed","2019-01-09 17:40:35","2019-01-09 17:40:35","00:00:00"
"22","g commit -m 'patch diagrams' ","Completed","2019-01-09 17:40:25","2019-01-09 17:40:25","00:00:00"
"23","g commit -m ""switch to powershell get & promt refactorings""","Completed","2019-01-08 21:32:59","2019-01-08 21:33:00","00:00:01"
"24","g commit -m ""matching docs""","Completed","2019-01-09 10:27:32","2019-01-09 10:27:32","00:00:00"
"25","g co master","Completed","2019-01-09 10:26:58","2019-01-09 10:26:58","00:00:00"
"26","g add developers/georgy/patches_diagrams.xlsx","Completed","2019-01-09 17:40:29","2019-01-09 17:40:29","00:00:00"
"27","g add .","Completed","2019-01-09 10:27:20","2019-01-09 10:27:20","00:00:00"
"28","echo ""\nSmall :\uf300\uf460\ue70a\ue258\nSo-so :\uf000\uf072\nNormal:\ue285\uf245\n""","Completed","2019-01-09 13:13:56","2019-01-09 13:13:56","00:00:00"
"29","cmd","Completed","2019-01-09 13:14:01","2019-01-09 13:14:07","00:00:06"
"30","cls","Completed","2019-01-09 13:35:20","2019-01-09 13:35:20","00:00:00"
"31","cd C:\src\etc\","Completed","2019-01-09 10:37:22","2019-01-09 10:37:22","00:00:00"
"32","cd 'C:\Documents and Settings\cd '","Completed","2019-01-08 21:24:58","2019-01-08 21:24:58","00:00:00"
"33","cd .\leetcode\","Completed","2019-01-09 10:37:31","2019-01-09 10:37:31","00:00:00"
"34","cd .\Documents\Powershell\","Completed","2019-01-10 10:15:46","2019-01-10 10:15:46","00:00:00"
"35","cat .\history.csv","Completed","2019-01-10 10:15:50","2019-01-10 10:15:50","00:00:00"
"36","C:\src\etc\","Completed","2019-01-09 10:37:19","2019-01-09 10:37:19","00:00:00"
"37","asdasd","Completed","2019-01-08 21:30:26","2019-01-08 21:30:26","00:00:00"
"38","[regex]::split($command,""\b"")","Completed","2019-01-10 11:05:35","2019-01-10 11:05:35","00:00:00"
"39","[regex]::split($command,""[ |;]"")","Completed","2019-01-10 11:05:47","2019-01-10 11:05:47","00:00:00"
"40","'(gc .\history.csv|select -Last 1 -First 1|ConvertFrom-Csv)'|clip","Completed","2019-01-10 10:17:11","2019-01-10 10:17:11","00:00:00"
"41","$wakatime","Completed","2019-01-10 10:47:07","2019-01-10 10:47:07","00:00:00"
"42","$GitPromptSettings|out-file gitpromtp.txt","Completed","2019-01-09 13:43:58","2019-01-09 13:43:58","00:00:00"
"43","$GitPromptSettings.BeforeText","Completed","2019-01-08 21:29:03","2019-01-08 21:29:03","00:00:00"
"44","$GitPromptSettings.afterText","Completed","2019-01-08 21:29:15","2019-01-08 21:29:15","00:00:00"
"45","$GitPromptSettings","Completed","2019-01-09 13:55:30","2019-01-09 13:55:30","00:00:00"
"46","$env:wakaDebug = $true","Completed","2019-01-10 10:18:57","2019-01-10 10:18:57","00:00:00"
"47","$commandText","Completed","2019-01-10 11:08:59","2019-01-10 11:08:59","00:00:00"
"48","$commandObj","Completed","2019-01-10 11:09:11","2019-01-10 11:09:11","00:00:00"
"49","$command.Split()","Completed","2019-01-10 11:04:28","2019-01-10 11:04:28","00:00:00"
"50","$command.Split(""|"")","Completed","2019-01-10 11:04:53","2019-01-10 11:04:53","00:00:00"
"51","$command.Split(""\b"")","Completed","2019-01-10 11:04:33","2019-01-10 11:04:33","00:00:00"
"52","$command.Split("""")","Completed","2019-01-10 11:04:45","2019-01-10 11:04:45","00:00:00"
"53","$command","Completed","2019-01-10 11:08:57","2019-01-10 11:08:57","00:00:00"
"54"," z do","Completed","2019-01-10 10:46:37","2019-01-10 10:46:37","00:00:00"
"55"," ls","Completed","2019-01-10 11:13:15","2019-01-10 11:13:15","00:00:00"
"56","            $historyItem = (gc $historyPath|select -Last 1 -First 1|ConvertFrom-Csv)","Completed","2019-01-10 11:08:39","2019-01-10 11:08:39","00:00:00"
"57","            $commandText = [regex]::split($commandObj,""[ |;]"")","Completed","2019-01-10 11:08:40","2019-01-10 11:08:40","00:00:00"
"58","            $commandObj = (gc $historyPath|select -Last 1 -First 1|ConvertFrom-Csv)","Completed","2019-01-10 11:04:08","2019-01-10 11:04:08","00:00:00"
"59","            $commandObj = ($historyItem|select -Property CommandLine).CommandLine","Completed","2019-01-10 11:08:39","2019-01-10 11:08:39","00:00:00"
"60","            $command = ($commandObj|select -Property CommandLine).CommandLine.Split("" "")[0].Replace(""("","""")","Completed","2019-01-10 11:04:09","2019-01-10 11:04:09","00:00:00"
"62","            $command = $commandText.Replace(""("","""")","Completed","2019-01-10 11:08:40","2019-01-10 11:08:40","00:00:00"
"126","            $command = $commandText.Replace(""("","""")","Completed","2019-01-10 11:08:40","2019-01-10 11:08:40","00:00:00"
"127","   ls","Completed","2019-01-10 11:18:26","2019-01-10 11:18:26","00:00:00.2572270"
"128","Get-Job|Receive-Job","Completed","2019-01-10 11:18:28","2019-01-10 11:18:28","00:00:00.0159062"
"129","Get-Job|Receive-Job","Completed","2019-01-10 11:18:30","2019-01-10 11:18:30","00:00:00.0084625"
"130","Get-Job|Receive-Job","Completed","2019-01-10 11:18:32","2019-01-10 11:18:32","00:00:00.0030088"
"131","Get-Job|Receive-Job","Completed","2019-01-10 11:18:33","2019-01-10 11:18:33","00:00:00.0053507"
"131","Get-Job|Receive-Job","Completed","2019-01-10 11:18:33","2019-01-10 11:18:33","00:00:00.0053507"
"132","z .\Do","Completed","2019-01-10 11:18:39","2019-01-10 11:18:39","00:00:00.1985950"
"134","g s","Completed","2019-01-10 11:18:44","2019-01-10 11:18:44","00:00:00.2237632"
"135","g diff","Completed","2019-01-10 11:18:56","2019-01-10 11:19:03","00:00:07.3519743"
"136","g commit -m ""wakatime proper behavior""","Completed","2019-01-10 11:19:14","2019-01-10 11:19:14","00:00:00.1607095"
"136","g commit -m ""wakatime proper behavior""","Completed","2019-01-10 11:19:14","2019-01-10 11:19:14","00:00:00.1607095"
